rec_id,season,town,zone_use,building_type,trade_date,total_price,land_area_ping,building_area_ping,area_ping,unit_price_ping,address,is_land_only,is_special
3021919630581883479,115S2,埔鹽鄉,住,華廈(10層含以下有電梯),1150322,6550000.0,10.98,30.13,30.13,217391.0,彰化縣埔鹽鄉中正路７４之１號五樓之１,False,False
8676905859797792961,115S2,秀水鄉,鄉村區,透天厝,1150331,16300000.0,28.74,57.88,57.88,281617.0,彰化縣秀水鄉安北巷８０之２號,False,False
1660293272163115633,115S2,秀水鄉,住,其他,1150330,8980000.0,42.05,0.0,42.05,213555.0,秀水段227-41地號,True,False
2719503920493655887,115S2,埔鹽鄉,特定農業區,其他,1150204,336980.0,50.97,0.0,50.97,6611.0,光明段1721地號,True,False
142619273194639897,115S2,埔心鄉,農,其他,1150201,3489600.0,150.15,0.0,150.15,23241.0,新興段508-1地號,True,False
1672022831334679990,115S2,埔心鄉,農,其他,1150201,3489600.0,34.9,0.0,34.9,99989.0,新興段507-3地號,True,False
8427695200817592652,115S2,埔鹽鄉,特定農業區,其他,1150223,3843500.0,339.4,0.0,339.4,11324.0,東榮段2158地號,True,False
1376155605905470817,115S2,溪湖鎮,住,其他,1150226,5970000.0,19.9,0.0,19.9,300000.0,平和段941-4地號,True,False
429136110414615311,115S2,埤頭鄉,住,其他,1150202,14300000.0,199.1,0.0,199.1,71823.0,平原段343地號,True,False
2398868241456677558,115S2,埤頭鄉,住,其他,1150202,31730000.0,423.06,0.0,423.06,75001.0,平原段352地號,True,False
6572450086892681433,115S2,埤頭鄉,住,其他,1150202,6500000.0,56.23,0.0,56.23,115597.0,永豐段608地號,True,False
5109576469315735670,115S2,溪湖鎮,鄉村區,透天厝,1150212,17000000.0,41.82,81.03,81.03,209799.0,彰化縣溪湖鎮鎮安路６３之２號,False,False
3243055196540899015,115S2,埔心鄉,住,其他,1150212,1500000.0,28.74,0.0,28.74,52192.0,霖興段634地號,True,False
357937238394516806,115S2,埔心鄉,特定農業區,其他,1150209,1905150.0,146.55,0.0,146.55,13000.0,太平西段555地號,True,False
2991420763602374741,115S2,埤頭鄉,特定農業區,其他,1150201,5750000.0,599.06,0.0,599.06,9598.0,合興段637地號,True,False
9021123601947936332,115S2,埤頭鄉,鄉村區,透天厝,1150207,9500000.0,42.09,51.07,51.07,186019.0,彰化縣埤頭鄉福德路１８６巷１２號,False,False
8147213085923434702,115S2,埔心鄉,特定農業區,其他,1150204,1237460.0,153.95,0.0,153.95,8038.0,仁華段353地號,True,False
8099970436723288237,115S2,溪湖鎮,農,透天厝,1150211,11800000.0,30.35,54.37,54.37,217031.0,彰化縣溪湖鎮員鹿路後溪巷４２之１７號,False,False
433388968412465164,115S2,秀水鄉,農,其他,1150223,18600000.0,711.88,0.0,711.88,26128.0,秀水段138-2地號,True,False
739121559659559229,115S2,埔心鄉,住,華廈(10層含以下有電梯),1150211,9480000.0,9.24,23.96,23.96,395659.0,彰化縣埔心鄉明泉街１７５號三樓之３,False,False
1519200364278464959,115S2,秀水鄉,商,其他,1150209,4667669.0,19.72,0.0,19.72,236697.0,福安段454-4地號,True,False
